trial_id,timestamp,duration_sec,instruction,image_path,model_output,model_target,visible,confidence,parse_method,target_x,target_y,target_yaw,amcl_x,amcl_y,odom_x,odom_y,pose_disagreement_m,pose_health_ok,final_pose_source,final_x,final_y,final_yaw,final_error_m,within_success_radius,navigation_arrived,visual_confirmed,target_seen_during_nav,target_seen_during_nav_image,final_visual_confirmed,active_search_used,task_success,nav_result,failure_reason
1,2026-06-24 20:44:04,215.72,Go to the plant.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/node7_node8_full15_2026-06-24/trial_0004_20260624_204358_416605456_scan_01_go_to_the_plant.png,"```json
{
  ""target"": ""plant"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""horizontal_position"": ""right"",
  ""evidence"": ""The plant is visible in the image, located on the right side of the frame, in a black pot on the floor.""
}
```",plant,True,0.95,semantic_nav_first_final_visual_confirmed,0.35,-2.92,3.141592653589793,0.327,-2.344,0.412,-2.587,0.258,True,amcl_pose,0.327,-2.344,-1.735,0.577,True,True,True,True,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/node7_node8_full15_2026-06-24/trial_0003_20260624_204208_734640303_during_nav_go_to_the_plant.png,True,False,True,success,
2,2026-06-24 20:44:20,12.116,Move to the potted plant on the floor.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/node7_node8_full15_2026-06-24/trial_0006_20260624_204414_014441004_scan_01_move_to_the_potted_plant_on_the_floor.png,"```json
{
  ""target"": ""potted plant"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""horizontal_position"": ""center"",
  ""evidence"": ""The potted plant is visible on the floor, positioned in the center-right portion of the image. It is located in the foreground, in the lower right quadrant of the frame.""
}
```",potted plant,True,0.95,visual_semantic_map_observation_pose_final_visual_confirmed,0.35,-2.92,3.141592653589793,0.327,-2.344,0.412,-2.586,0.257,True,amcl_pose,0.327,-2.344,-1.735,0.577,True,True,True,False,,True,False,True,success,
3,2026-06-24 20:44:39,13.705,Navigate to the green plant near the chair.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/node7_node8_full15_2026-06-24/trial_0008_20260624_204433_009942889_scan_01_navigate_to_the_green_plant_near_the_cha.png,"```json
{
  ""target"": ""green plant"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""horizontal_position"": ""right"",
  ""evidence"": ""The green plant is visible in the image, positioned in the center-right area of the frame, near the black rectangular planter. It is located on the floor of the warehouse.""
}
```",green plant,True,0.95,visual_semantic_map_observation_pose_final_visual_confirmed,0.35,-2.92,3.141592653589793,0.327,-2.344,0.412,-2.586,0.257,True,amcl_pose,0.327,-2.344,-1.735,0.577,True,True,True,False,,True,False,True,success,
4,2026-06-24 20:50:54,370.2,Go to the black office chair.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/node7_node8_full15_2026-06-24/trial_0030_20260624_205048_705087855_scan_04_go_to_the_black_office_chair.png,"```json
{
  ""target"": ""black office chair"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""horizontal_position"": ""left"",
  ""evidence"": ""The black office chair is partially visible on the left side of the image, with its back and seat edge in frame.""
}
```",black office chair,True,0.95,semantic_explore_final_visual_confirmed,0.2,-0.69,3.141592653589793,0.566,-1.33,0.296,-0.969,0.451,True,amcl_pose,0.566,-1.33,-2.764,0.737,True,True,True,False,,True,True,True,success,
5,2026-06-24 20:51:10,11.505,Move to the chair near the robot.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/node7_node8_full15_2026-06-24/trial_0032_20260624_205105_009876789_scan_01_move_to_the_chair_near_the_robot.png,"```json
{
  ""target"": ""chair"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""horizontal_position"": ""left"",
  ""evidence"": ""A black office chair is visible on the left side of the image, near the edge of the frame.""
}
```",chair,True,0.95,visual_semantic_map_observation_pose_final_visual_confirmed,0.2,-0.69,3.141592653589793,0.566,-1.33,0.296,-0.969,0.451,True,amcl_pose,0.566,-1.33,-2.764,0.737,True,True,True,False,,True,False,True,success,
6,2026-06-24 20:51:28,12.331,Navigate to the chair beside the plant.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/node7_node8_full15_2026-06-24/trial_0034_20260624_205122_053582700_scan_01_navigate_to_the_chair_beside_the_plant.png,"```json
{
  ""target"": ""chair"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""horizontal_position"": ""left"",
  ""evidence"": ""A black office chair is visible on the left side of the image, positioned near the edge of the frame. The chair is partially in the frame and clearly visible.""
}
```",chair,True,0.95,visual_semantic_map_observation_pose_final_visual_confirmed,0.2,-0.69,3.141592653589793,0.566,-1.33,0.296,-0.969,0.451,True,amcl_pose,0.566,-1.33,-2.764,0.737,True,True,True,False,,True,False,True,success,
7,2026-06-24 21:06:32,900.0,Go to the purple boxes.,,,,,,timeout,,,,-11.676,-4.791,-6.096,10.533,16.308,False,amcl_pose,-11.676,-4.791,-2.461,,,False,False,,,,,False,timeout,No /vln_trial_result within 900.0s.
8,2026-06-24 21:08:06,33.396,Move to the right shelf with purple boxes.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/node7_node8_full15_2026-06-24/trial_0050_20260624_210800_060361906_scan_01_move_to_the_right_shelf_with_purple_boxe.png,"```json
{
  ""target"": ""right shelf with purple boxes"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""horizontal_position"": ""right"",
  ""evidence"": ""The image shows a shelf with purple boxes on the right side of the frame, which is the target location. The shelf is clearly visible and the boxes are present.""
}
```",right shelf with purple boxes,True,0.95,visual_semantic_map_observation_pose_final_visual_confirmed,-6.3,10.8,3.141592653589793,-11.588,-4.737,-6.142,10.547,16.225,False,amcl_pose,-11.588,-4.737,-1.558,16.412,False,True,True,False,,True,False,True,success,
9,2026-06-24 21:08:23,12.08,Navigate to the shelf area containing purple packages.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/node7_node8_full15_2026-06-24/trial_0052_20260624_210817_057100988_scan_01_navigate_to_the_shelf_area_containing_pu.png,"```json
{
  ""target"": ""shelf area containing purple packages"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""horizontal_position"": ""left"",
  ""evidence"": ""The image shows a shelf with multiple purple packages stacked on it, visible in the background on the left side of the frame.""
}
```",shelf area containing purple packages,True,0.95,visual_semantic_map_observation_pose_final_visual_confirmed,-6.3,10.8,3.141592653589793,-11.588,-4.737,-6.142,10.547,16.225,False,amcl_pose,-11.588,-4.737,-1.558,16.412,False,True,True,False,,True,False,True,success,
10,2026-06-24 21:08:40,13.175,Go to the shelf.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/node7_node8_full15_2026-06-24/trial_0054_20260624_210835_032847743_scan_01_go_to_the_shelf.png,"```json
{
  ""target"": ""shelf"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""horizontal_position"": ""left"",
  ""evidence"": ""The image shows a shelf with purple boxes stacked on it, visible in the background of the image.""
}
```",shelf,True,0.95,visual_semantic_map_observation_pose_final_visual_confirmed,-6.3,10.8,3.141592653589793,-11.588,-4.737,-6.142,10.547,16.225,False,amcl_pose,-11.588,-4.737,-1.558,16.412,False,True,True,False,,True,False,True,success,
