timestamp,duration_sec,instruction,image_path,model_output,model_target,visible,confidence,parse_method,target_x,target_y,target_yaw,nav_result,failure_reason

2026-06-10 18:41:50,14.395,Go to the plant.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/latest_camera.png,"```json
{
  ""target"": ""plant"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""x"": -0.43,
  ""y"": -2.92,
  ""yaw"": 0.0
}
```",plant,True,0.95,json,-0.43,-2.92,0.0,success,

2026-06-10 18:51:54,15.141,Go to the plant.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/latest_camera.png,"```json
{
  ""target"": ""plant"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""x"": -0.43,
  ""y"": -2.92,
  ""yaw"": 0.0
}
```",plant,True,0.95,json,-0.43,-2.92,0.0,success,

2026-06-10 18:52:13,15.421,Move to the potted plant on the floor.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/latest_camera.png,"```json
{
  ""target"": ""potted plant on the floor"",
  ""visible"": false,
  ""confidence"": 0.85,
  ""x"": -0.43,
  ""y"": -2.92,
  ""yaw"": 0.0
}
```",potted plant on the floor,False,0.85,json,-0.43,-2.92,0.0,success,

2026-06-10 18:52:30,15.157,Navigate to the green plant near the chair.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/latest_camera.png,"```json
{
  ""target"": ""plant"",
  ""visible"": false,
  ""confidence"": 0.87,
  ""x"": -0.43,
  ""y"": -2.92,
  ""yaw"": 0.0
}
```",plant,False,0.87,json,-0.43,-2.92,0.0,success,

2026-06-10 18:54:52,138.273,Go to the black office chair.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/latest_camera.png,"```json
{
  ""target"": ""black office chair"",
  ""visible"": false,
  ""confidence"": 0.0,
  ""x"": -0.54,
  ""y"": -0.69,
  ""yaw"": 1.57
}
```",black office chair,False,0.0,json,-0.54,-0.69,1.57,success,

2026-06-10 18:55:10,15.312,Move to the chair near the robot.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/latest_camera.png,"```json
{
  ""target"": ""chair"",
  ""visible"": false,
  ""confidence"": 0.87,
  ""x"": -0.54,
  ""y"": -0.69,
  ""yaw"": 1.57
}
```",chair,False,0.87,json,-0.54,-0.69,1.57,success,

2026-06-10 18:55:28,15.194,Navigate to the chair beside the plant.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/latest_camera.png,"```json
{
  ""target"": ""chair"",
  ""visible"": false,
  ""confidence"": 0.87,
  ""x"": -0.54,
  ""y"": -0.69,
  ""yaw"": 1.57
}
```",chair,False,0.87,json,-0.54,-0.69,1.57,success,

2026-06-10 19:13:55,220.77,Go to the plant.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/latest_camera.png,"```json
{
  ""target"": ""plant"",
  ""visible"": false,
  ""confidence"": 0.87,
  ""x"": -0.43,
  ""y"": -2.92,
  ""yaw"": 0.0
}
```",plant,False,0.87,json,-0.43,-2.92,0.0,success,

