trial_id,timestamp,duration_sec,instruction,image_path,model_output,model_target,visible,confidence,parse_method,target_x,target_y,target_yaw,amcl_x,amcl_y,odom_x,odom_y,pose_disagreement_m,pose_health_ok,final_pose_source,final_x,final_y,final_yaw,final_error_m,within_success_radius,navigation_arrived,visual_confirmed,target_seen_during_nav,target_seen_during_nav_image,final_visual_confirmed,active_search_used,task_success,nav_result,failure_reason
1,2026-06-24 21:37:10,187.91,Go to the plant.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/node7_node8_full15_clean_2026-06-24/trial_0004_20260624_213704_492787090_scan_01_go_to_the_plant.png,"```json
{
  ""target"": ""plant"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""horizontal_position"": ""right"",
  ""evidence"": ""The plant is visible in the image, positioned on the right side of the frame, in a black pot on the floor.""
}
```",plant,True,0.95,semantic_nav_first_final_visual_confirmed,0.35,-2.92,3.141592653589793,0.146,-2.403,0.41,-2.584,0.32,True,odom,0.41,-2.584,-1.691,0.341,True,True,True,True,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/node7_node8_full15_clean_2026-06-24/trial_0003_20260624_213516_363986136_during_nav_go_to_the_plant.png,True,False,True,success,
2,2026-06-24 21:37:27,13.519,Move to the potted plant on the floor.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/node7_node8_full15_clean_2026-06-24/trial_0006_20260624_213721_363164133_scan_01_move_to_the_potted_plant_on_the_floor.png,"```json
{
  ""target"": ""potted plant on the floor"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""horizontal_position"": ""center"",
  ""evidence"": ""The potted plant is visible on the floor, positioned in the center-right of the image. The plant is in a black rectangular pot and is clearly visible.""
}
```",potted plant on the floor,True,0.95,visual_semantic_map_observation_pose_final_visual_confirmed,0.35,-2.92,3.141592653589793,0.146,-2.403,0.411,-2.584,0.32,True,odom,0.411,-2.584,-1.691,0.342,True,True,True,False,,True,False,True,success,
3,2026-06-24 21:37:45,13.179,Navigate to the green plant near the chair.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/node7_node8_full15_clean_2026-06-24/trial_0008_20260624_213739_339638120_scan_01_navigate_to_the_green_plant_near_the_cha.png,"```json
{
  ""target"": ""green plant"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""horizontal_position"": ""right"",
  ""evidence"": ""The green plant is visible in the image, positioned on the right side of the room, in a black pot. It is located in the upper right portion of the frame.""
}
```",green plant,True,0.95,visual_semantic_map_observation_pose_final_visual_confirmed,0.35,-2.92,3.141592653589793,0.146,-2.403,0.411,-2.583,0.32,True,odom,0.411,-2.583,-1.691,0.343,True,True,True,False,,True,False,True,success,
4,2026-06-24 21:43:29,338.934,Go to the black office chair.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/node7_node8_full15_clean_2026-06-24/trial_0029_20260624_214323_382657080_scan_03_go_to_the_black_office_chair.png,"```json
{
  ""target"": ""black office chair"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""horizontal_position"": ""left"",
  ""evidence"": ""A black office chair is partially visible on the left side of the image, with its seat and backrest in the frame.""
}
```",black office chair,True,0.95,semantic_explore_final_visual_confirmed,0.2,-0.69,3.141592653589793,1.143,-1.569,0.303,-0.982,1.025,True,odom,0.303,-0.982,3.017,0.309,True,True,True,False,,True,True,True,success,
5,2026-06-24 21:43:46,12.132,Move to the chair near the robot.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/node7_node8_full15_clean_2026-06-24/trial_0031_20260624_214340_337908945_scan_01_move_to_the_chair_near_the_robot.png,"```json
{
  ""target"": ""chair"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""horizontal_position"": ""left"",
  ""evidence"": ""The chair is visible in the image, located on the left side of the frame, near the center of the warehouse floor.""
}
```",chair,True,0.95,visual_semantic_map_observation_pose_final_visual_confirmed,0.2,-0.69,3.141592653589793,1.143,-1.569,0.303,-0.982,1.025,True,odom,0.303,-0.982,3.017,0.309,True,True,True,False,,True,False,True,success,
6,2026-06-24 21:44:02,11.52,Navigate to the chair beside the plant.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/node7_node8_full15_clean_2026-06-24/trial_0033_20260624_214357_346187719_scan_01_navigate_to_the_chair_beside_the_plant.png,"```json
{
  ""target"": ""chair"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""horizontal_position"": ""left"",
  ""evidence"": ""A black office chair is visible on the left side of the image, positioned near the plant.""
}
```",chair,True,0.95,visual_semantic_map_observation_pose_final_visual_confirmed,0.2,-0.69,3.141592653589793,1.143,-1.569,0.303,-0.982,1.025,True,odom,0.303,-0.982,3.017,0.309,True,True,True,False,,True,False,True,success,
7,2026-06-24 21:58:34,867.034,Go to the purple boxes.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/node7_node8_full15_clean_2026-06-24/trial_0043_20260624_215828_459341976_scan_01_go_to_the_purple_boxes.png,"```json
{
  ""target"": ""purple boxes"",
  ""visible"": true,
  ""confidence"": 0.85,
  ""horizontal_position"": ""left"",
  ""evidence"": ""The purple boxes are partially visible in the upper-left corner of the image, stacked on the left side of the frame. They are located behind the yellow object in the foreground.""
}
```",purple boxes,True,0.85,semantic_nav_first_final_visual_confirmed,-6.3,10.8,3.141592653589793,-11.297,2.009,-6.14,10.544,9.972,False,odom,-6.14,10.544,2.945,0.302,True,True,True,True,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/node7_node8_full15_clean_2026-06-24/trial_0034_20260624_214513_268506434_during_nav_go_to_the_purple_boxes.png,True,True,True,success,
8,2026-06-24 21:59:22,44.249,Move to the right shelf with purple boxes.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/node7_node8_full15_clean_2026-06-24/trial_0048_20260624_215916_386639139_scan_01_move_to_the_right_shelf_with_purple_boxe.png,"```json
{
  ""target"": ""right shelf with purple boxes"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""horizontal_position"": ""right"",
  ""evidence"": ""The image shows a shelf with purple boxes on the right side of the frame, visible in the background. The shelf is located on the right side of the image and is clearly visible.""
}
```",right shelf with purple boxes,True,0.95,visual_semantic_map_observation_pose_final_visual_confirmed,-6.3,10.8,3.141592653589793,-11.333,1.977,-6.145,10.545,10.016,False,odom,-6.145,10.545,-2.986,0.298,True,True,True,False,,True,False,True,success,
9,2026-06-24 21:59:39,12.659,Navigate to the shelf area containing purple packages.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/node7_node8_full15_clean_2026-06-24/trial_0050_20260624_215933_343098508_scan_01_navigate_to_the_shelf_area_containing_pu.png,"```json
{
  ""target"": ""shelf area containing purple packages"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""horizontal_position"": ""left"",
  ""evidence"": ""The image shows a shelf area with multiple purple packages stacked on wooden pallets. The packages are clearly visible and located on the shelf to the left of the yellow protective barrier.""
}
```",shelf area containing purple packages,True,0.95,visual_semantic_map_observation_pose_final_visual_confirmed,-6.3,10.8,3.141592653589793,-11.333,1.977,-6.145,10.545,10.016,False,odom,-6.145,10.545,-2.986,0.298,True,True,True,False,,True,False,True,success,
10,2026-06-24 21:59:57,13.286,Go to the shelf.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/node7_node8_full15_clean_2026-06-24/trial_0052_20260624_215951_341527549_scan_01_go_to_the_shelf.png,"```json
{
  ""target"": ""shelf"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""horizontal_position"": ""left"",
  ""evidence"": ""The shelf is visible in the image, with purple crates stacked on it. The shelf is located on the left side of the frame, and the camera is positioned to the left of the shelf.""
}
```",shelf,True,0.95,visual_semantic_map_observation_pose_final_visual_confirmed,-6.3,10.8,3.141592653589793,-11.333,1.977,-6.145,10.545,10.016,False,odom,-6.145,10.545,-2.986,0.298,True,True,True,False,,True,False,True,success,
