trial_id,timestamp,duration_sec,instruction,image_path,model_output,model_target,visible,confidence,parse_method,target_x,target_y,target_yaw,final_pose_source,final_x,final_y,final_yaw,final_error_m,within_success_radius,navigation_arrived,visual_confirmed,task_success,nav_result,failure_reason
1,2026-06-16 14:13:04,262.217,Go to the plant.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/trial_0009_20260616_141258_988901134_scan_01_go_to_the_plant.png,"```json
{
  ""target"": ""plant"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""horizontal_position"": ""left"",
  ""evidence"": ""The plant is visible in the image, positioned on the left side of the frame, in a black pot on the floor.""
}
```",plant,True,0.95,semantic_explore_then_visual_semantic_map_observation_pose,0.35,-2.92,3.141592653589793,amcl_pose,0.917,-2.628,-2.783,0.638,True,True,True,True,success,
2,2026-06-16 14:13:18,10.594,Move to the potted plant on the floor.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/trial_0010_20260616_141307_442629962_scan_01_move_to_the_potted_plant_on_the_floor.png,"```json
{
  ""target"": ""potted plant"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""horizontal_position"": ""left"",
  ""evidence"": ""The potted plant is located on the floor in the foreground, positioned on the left side of the image. It is a tall, black pot containing a green leafy plant, and it is clearly visible in the frame.""
}
```",potted plant,True,0.95,visual_semantic_map_observation_pose,0.35,-2.92,3.141592653589793,amcl_pose,0.917,-2.628,-2.783,0.638,True,True,True,True,success,
3,2026-06-16 14:13:30,9.383,Navigate to the green plant near the chair.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/trial_0011_20260616_141320_621511880_scan_01_navigate_to_the_green_plant_near_the_cha.png,"```json
{
  ""target"": ""green plant"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""horizontal_position"": ""left"",
  ""evidence"": ""The green plant is visible in the image, located on the left side of the scene, in a black rectangular pot. It is positioned near the chair on the right side of the image.""
}
```",green plant,True,0.95,visual_semantic_map_observation_pose,0.35,-2.92,3.141592653589793,amcl_pose,0.728,-2.687,-2.697,0.444,True,True,True,True,success,
4,2026-06-16 14:15:14,102.023,Go to the black office chair.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/trial_0012_20260616_141332_572453821_scan_01_go_to_the_black_office_chair.png,"```json
{
  ""target"": ""black office chair"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""horizontal_position"": ""right"",
  ""evidence"": ""The black office chair is partially visible on the far right of the image, with its seat and armrests visible.""
}
```",black office chair,True,0.95,visual_semantic_map_observation_pose,0.2,-0.69,3.141592653589793,amcl_pose,0.242,-1.338,1.469,0.65,True,True,True,True,success,
5,2026-06-16 14:17:32,135.051,Move to the chair near the robot.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/trial_0028_20260616_141726_378211380_scan_08_move_to_the_chair_near_the_robot.png,"```json
{
  ""target"": ""chair"",
  ""visible"": false,
  ""confidence"": 0.0,
  ""horizontal_position"": ""unknown"",
  ""evidence"": ""There is no chair visible in the image. The image shows a warehouse with shelves, pallets, and a floor. No chair is present in the scene.""
}
```",chair,False,0.0,semantic_explore_visual_scan_failed,0.2,-0.69,3.141592653589793,amcl_pose,0.188,-1.096,2.382,0.406,True,True,False,False,failed,semantic_explore_confirm_failed: target_not_visible_after_visual_scan
6,2026-06-16 14:18:27,53.139,Navigate to the chair beside the plant.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/trial_0034_20260616_141820_309705233_scan_06_navigate_to_the_chair_beside_the_plant.png,"```json
{
  ""target"": ""chair"",
  ""visible"": true,
  ""confidence"": 0.95,
  ""horizontal_position"": ""left"",
  ""evidence"": ""A black office chair is visible on the left side of the image, positioned near the edge of the frame.""
}
```",chair,True,0.95,visual_semantic_map_observation_pose,0.2,-0.69,3.141592653589793,amcl_pose,0.186,-1.065,2.771,0.376,True,True,True,True,success,
7,2026-06-16 14:22:35,244.53,Go to the purple boxes.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/trial_0035_20260616_141830_573922175_scan_01_go_to_the_purple_boxes.png,"```json
{
  ""target"": ""purple boxes"",
  ""visible"": true,
  ""confidence"": 0.85,
  ""horizontal_position"": ""right"",
  ""evidence"": ""The purple boxes are visible on the right side of the image, located on the lower shelves of the warehouse racks. They are positioned on the same level as the gray pallets and are clearly in view.""
}
```",purple boxes,True,0.85,visual_semantic_map,-6.78,10.96,0.0,amcl_pose,-4.516,-0.322,1.284,11.506,False,False,True,False,stuck,Nav2 made no meaningful progress for 45.0s (best_distance=10.82m).
8,2026-06-16 14:25:22,164.928,Move to the right shelf with purple boxes.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/trial_0043_20260616_142343_173819132_scan_08_move_to_the_right_shelf_with_purple_boxe.png,"```json
{
  ""target"": ""right shelf with purple boxes"",
  ""visible"": false,
  ""confidence"": 0.0,
  ""horizontal_position"": ""unknown"",
  ""evidence"": ""The image shows an empty warehouse interior with a gray floor and yellow and white walls. There are no shelves with purple boxes visible in the image. The user's instruction is not fulfilled as the target object is not present.""
}
```",right shelf with purple boxes,False,0.0,semantic_explore_failed,-6.78,10.96,0.0,amcl_pose,-4.947,1.44,1.433,9.695,False,False,False,False,stuck,Nav2 made no meaningful progress for 45.0s (best_distance=11.89m).
9,2026-06-16 14:28:06,160.876,Navigate to the shelf area containing purple packages.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/trial_0051_20260616_142627_183303326_scan_08_navigate_to_the_shelf_area_containing_pu.png,"```json
{
  ""target"": ""shelf area containing purple packages"",
  ""visible"": false,
  ""confidence"": 0.0,
  ""horizontal_position"": ""unknown"",
  ""evidence"": ""The image shows an empty warehouse interior with a gray floor, white brick walls, and yellow upper walls. No shelves or purple packages are visible in the image.""
}
```",shelf area containing purple packages,False,0.0,semantic_explore_failed,-6.78,10.96,0.0,amcl_pose,-5.617,3.835,1.267,7.219,False,False,False,False,stuck,Nav2 made no meaningful progress for 45.0s (best_distance=13.56m).
10,2026-06-16 14:30:46,157.55,Go to the shelf.,/home/bluepoisons/Desktop/FURP/VLN/ZhiruiSHEN-VLN/data/runtime/trial_images/trial_0059_20260616_142907_485993265_scan_08_go_to_the_shelf.png,"```json
{
  ""target"": ""shelf"",
  ""visible"": false,
  ""confidence"": 0.0,
  ""horizontal_position"": ""unknown"",
  ""evidence"": ""The image shows a warehouse interior with a wall that has a white brick lower section and a yellow upper section, with metal supports. There is no visible shelf in the image.""
}
```",shelf,False,0.0,semantic_explore_failed,-6.78,10.96,0.0,amcl_pose,-5.775,6.216,1.696,4.849,False,False,False,False,stuck,Nav2 made no meaningful progress for 45.0s (best_distance=15.65m).
